filename,lgris_text,freds0_text,similarity
DXILvIKW_FY_1.wav,ESTÁ QUARTA-FEIRA O ACORDO DE LIVRE COMÉRCIO ENTRE O MERCOSUL E A,nesta quarta-feira. O Acordo de Livre Comércio entre o Mercosul e a União,0.9027777777777778
DXILvIKW_FY_11.wav,O MINISTRO RELATOR FRANCISCO FALCÃO NEGOU O EMBARGO E DESTACOU,O ministro relator Francisco Falcão negou o embarco e destacou,0.9838709677419355
DXILvIKW_FY_12.wav,UO TEMA JÁ FOI APRECIADO ANTERIORMENTE PELO F,"que o tema já foi apreciado anteriormente pelo STF,",0.9
DXILvIKW_FY_14.wav,DEFENDERAM QUE A SENTENÇA SEJA REVISTA DE ACORDO COM AS LEIS BRASILEIRAS,defenderam que a sentença seja revista de acordo com as leis brasileiras.,1.0
DXILvIKW_FY_17.wav,ECLUSÃO IMPOSTOS PELA JUSTIÇA ITALIANA ELE ESTÁ PRESO DESDE MAR,eclusão impostos pela justiça italiana. Ele está preso desde março,0.9692307692307692
DXILvIKW_FY_2.wav,EUROPÉIA TEVE UM AVANÇO SIGNIFICATIVO A COMISSÃO EUROPÉIA ENTREGOU,europeia teve um avanço significativo. A Comissão Europeia entregou a,0.9705882352941176
DXILvIKW_FY_20.wav,BOA EM PORTUGAL O FUNICULAR DESCARRILOU E SE CHOCOU CONTRA UM,em Portugal. O funicular descarrilou e se chocou contra um,0.9344262295081968
DXILvIKW_FY_24.wav,POSTA A TRAMA GOLPISTA AS DEFESAS DE JAIRO BOLCONARO GENERAL,"imposta trama golpista, as defesas de Jair Bolsonaro, general",0.9
DXILvIKW_FY_26.wav,ENVISTA QUE O JULGAMENTO COMEÇOU ONTEM O ADVOGADO DO EX PRESIDENTE O CELSO,"em vista que o julgamento começou ontem. O advogado do ex-presidente, o Celso",0.9733333333333334
DXILvIKW_FY_32.wav,TERA ABAITAS DE DADOS O JULGAMENTO TERÁ CONTINUIDADE NA PRÓXIMA,terabites de dados. O julgamento terá continuidade na próxima,0.9365079365079365
DXILvIKW_FY_33.wav,TERÇA-FEIRA ÀS NOVE HORAS DA MANHÃ TODAS AS INFORMAÇÕES VÓ SE ACOMPANHA,terça-feira às nove horas da manhã. Todas as informações você acompanha,0.971830985915493
DXILvIKW_FY_35.wav,VOSE ACOMPANHA NESTA QUINTA-FEIRA PELA MANHÃ A ÓTIUMA NOITE POR AÍ ATEMAIS,você acompanha nesta quinta-feira pela manhã. Uma ótima noite por aí. Até mais.,0.9342105263157895
